PAIS,NACIONALIDAD,POBLACIÓN_CON_RESPECTO_A_AMERICA
USA,American,0.3245
TrinidadandTobago,Trinidadian and Tobagonian,0.0014
Brazil,Brazilian,0.2084
AntiguandBarbuda,Antiguan and Barbudan,0.0001
Mexico,Mexican,0.1235
Colombia,Colombian,0.0499
Argentina,Argentine,0.0443
PuertoRico,Puerto Rican,0.0028
Canada,Canadian,0.0370
Peru,Peruvian,0.0325
Suriname,Surinamese,0.0006
Venezuela,Venezuelan,0.0279
Chile,Chilean,0.0187
Haiti,Haitian,0.0112
Guatemala,Guatemalan,0.0176
Ecuador,Ecuadorian,0.0173
Guyana,Guyanese,0.0008
Bolivia,Bolivian,0.0114
Cuba,Cuban,0.0111
Grenada,Grenadian,0.0001
DominicanRepublic,Dominican,0.0106
Honduras,Honduran,0.0097
Paraguay,Paraguayan,0.0070
SaintKittsandNevis,Nevisian,0.0001
Nicaragua,Nicaraguan,0.0065
Uruguay,Uruguayan,0.0034
ElSalvador,Salvadoran,0.0064
Jamaica,Jamaican,0.0029
CostaRica,Costa Rican,0.0050
TheBahamas,Bahamian,0.0004
Panama,Panamanian,0.0042
Belize,Belizean,0.0004
Barbados,Barbadian,0.0003
SaintVincentandThegrenadines,Vincentian,0.0001
SaintLucia,Saint Lucian,0.0002
Dominica,Dominican,0.0001
